phi;Fkm/2;Fkm;F2km;F10km;F50km;F100km
0.2024854640009046;0.577011929200106;1.0100884909121486;0.7283765593311189;0.44112239703854417;0.3846059519739787;0.37899764563118327
0.20555342557667577;0.5543025410543019;0.9990337525842174;0.725528238094777;0.4405790700007969;0.3842610952563314;0.37866943481409976
0.20862138715244738;0.5324717170893182;0.9880083891475464;0.7226557409291005;0.44002870719122045;0.3839115777272986;0.3783367711417867
0.21168934872821854;0.5114872058653931;0.9770160979190547;0.7197597216703467;0.4394713558734014;0.3835574217003275;0.3779996751647348
0.2147573103039897;0.49131773909472715;0.9660604318582863;0.7168408327853178;0.43890706376404814;0.38319864973466194;0.37765816766249244
0.21782527187976086;0.4719330258862434;0.955144801156475;0.7138997250895238;0.4383358790235505;0.38283528463196903;0.37731226964065295
0.22089323345553247;0.4533037435493824;0.9442724750035353;0.710937047471822;0.4377578502464979;0.3824673494329383;0.3769620023278197
0.22396119503130363;0.4354015254882301;0.9334465835183247;0.7079534466256581;0.43717302645215883;0.38209486741385984;0.3766073871725484
0.2270291566070748;0.41819894665550655;0.9226701198279084;0.7049495667870143;0.4365814570749255;0.38171786208317793;0.3762484458402694
0.2300971181828464;0.4016695069806108;0.9119459422820755;0.7019260494791659;0.43598319195472796;0.381336357178024;0.375885200210189
0.23316507975861755;0.38578761313615706;0.9012767767897847;0.6988835332643349;0.43537828132741835;0.380950376660728;0.37551767237217176
0.23623304133438872;0.37052855896299997;0.8906652192647246;0.695822653502308;0.43476677581513073;0.38055994471531074;0.37514588462360343
0.23930100291015988;0.3558685048340862;0.8801137381677259;0.6927440421160939;0.43414872641661884;0.38016508574395613;0.3747698594662369
0.24236896448593148;0.3417844562019835;0.8696246771342387;0.6896483273646689;0.4335241844975752;0.3797658243634662;0.3743896196030202
0.24543692606170264;0.3282542415434552;0.8592002576756645;0.6865361336228575;0.43289320178093366;0.3793621854016983;0.37400518793490917
0.2485048876374738;0.31525648988636185;0.8488425819438183;0.6834080811683761;0.43225583033716053;0.37895419389398644;0.3736165875576631
0.25157284921324496;0.30277060807934136;0.8385536355484048;0.6802647859760733;0.4316121225745353;0.37854187507954684;0.37322384175862705
0.25464081078901657;0.2907767579425893;0.828335290417857;0.6771068595193727;0.43096213122942506;0.3781252543978691;0.3728269740134996
0.25770877236478773;0.2792558334185789;0.818189307694475;0.6739349085789302;0.4303059093565564;0.37770435748509423;0.3724260079830875
0.2607767339405589;0.2681894378242471;0.808117340655279;0.6707495350584954;0.4296435103192855;0.3772792101703788;0.3720209675100477
0.2638446955163305;0.2575598612910002;0.7981209376505617;0.6675513358079684;0.42897498777987186;0.37684983847224895;0.3716118766156181
0.26691265709210166;0.24735005846541713;0.788201545052595;0.6643409024536359;0.4283003956897582;0.3764162685949418;0.3711987594963376
0.2699806186678728;0.2375436265317204;0.7783605102074382;0.6611188212355424;0.42761978827985664;0.3759785269247382;0.3707816405207555
0.273048580243644;0.22812478360676128;0.7685990843833232;0.6578856728519794;0.4269332200508488;0.37553664002628545;0.370360544226132
0.2761165418194156;0.2190783475491107;0.7589184257095083;0.6546420323110307;0.4262407457634989;0.3750906346389121;0.3699354953151306
0.27918450339518674;0.21038971521594313;0.7493196020999894;0.6513884687891369;0.4255424204289838;0.37464053767293576;0.369506518652502
