x;xcwm;height
-29.079079031944275;-28.81702476594996;1.1568028148607055
-28.978978991508484;-28.727337843073688;1.137557357593448
-28.878878831863403;-28.629207744963537;1.1319095130512722
-28.778778791427612;-28.547154825428716;1.1328111912450545
-28.67867863178253;-28.47356399470735;1.1190829351834775
-28.57857859134674;-28.395174539092764;1.0824297692586566
-28.47847843170166;-28.294479166121047;1.0384542509858272
-28.37837839126587;-28.186220525191608;1.0253684444121631
-28.27827823162079;-28.08849842326545;1.0040320560505362
-28.178178191184998;-27.981006670140307;1.0011956281506686
-28.078078031539917;-27.88407104502073;0.9735231572635845
-27.977977991104126;-27.77227694235279;0.9860718674362501
-27.877877831459045;-27.675912212963635;0.9814697112274784
-27.777777791023254;-27.580702117568162;0.9884192783975153
-27.677677631378174;-27.480111718224713;0.9877241343633922
-27.577577590942383;-27.387791955720296;1.0090922804419848
-27.477477431297302;-27.312020980886057;1.0103923486960744
-27.37737739086151;-27.208260335436076;1.0022605915538112
-27.27727723121643;-27.107299682240665;1.0162463800525658
-27.17717719078064;-27.012869975644104;1.0289876846789654
-27.07707703113556;-26.91599562098849;1.0415935739678897
-26.976976990699768;-26.81719978902635;1.0633068637128453
-26.876876831054688;-26.72744106495227;1.0819611889588434
-26.776776790618896;-26.63977797724082;1.0967246943343207
-26.676676630973816;-26.5669739829937;1.1116759267072827
-26.576576590538025;-26.487730289811935;1.1017385892603098
-26.476476430892944;-26.404622578416994;1.1121651223327595
-26.376376390457153;-26.34193113342733;1.1069691835699813
-26.276276230812073;-26.271019599888643;1.104626495187549
-26.17617619037628;-26.19662646186082;1.0976566881196699
-26.0760760307312;-26.142014329690813;1.0882782021238933
-25.97597599029541;-26.074407832923647;1.0463279812321402
-25.87587583065033;-25.982349541860735;1.0153050724633998
-25.77577579021454;-25.916679592998975;0.9942986852041167
-25.675675630569458;-25.844221965662097;0.9403059557567686
-25.575575590133667;-25.75823586792165;0.8946695724710557
-25.475475430488586;-25.651507600257045;0.8530792173407867
-25.375375390052795;-25.55941061074992;0.8242127900041345
-25.275275230407715;-25.4575764531229;0.771938859679709
